rok;strana_id;strana;poradove_cislo;jmeno;tituly;vek;navrhovana_str;prislusnost;hlasy;hlasy_procenta;poradi;mandat
2014;3;Strana svobodných občanů;33;Kozák Martin Mgr.;Mgr.;30;Svobodní;BEZPP;844;2.05;-;False
2014;10;Komunistická str.Čech a Moravy;44;Kozák Zdeněk JUDr.;JUDr.;68;KSČM;BEZPP;3187;2.08;38;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;15;Kozáková Vladimíra Bc.;Bc.;52;Úsvit;BEZPP;1128;2.1;-;False
2014;15;DSSS-Za Plz. bez hazar. a nepř;16;Kozel Tomáš;;24;DSSS;DSSS;319;3.12;-;False
2014;3;Strana svobodných občanů;45;Kožina Miloš Ing.;Ing.;33;Svobodní;BEZPP;766;1.86;-;False
2014;7;Volební strana REPUBLIKA;24;Král Jaromír;;29;Republika;BEZPP;60;2.96;-;False
2014;7;Volební strana REPUBLIKA;27;Královec Václav Bc.;Bc.;57;Republika;BEZPP;55;2.71;-;False
2014;3;Strana svobodných občanů;15;Krásný Vladislav;;28;Svobodní;Svobodní;874;2.12;-;False
2014;15;DSSS-Za Plz. bez hazar. a nepř;3;Kratochvíl Zbyněk;;38;DSSS;DSSS;397;3.88;-;False
2014;3;Strana svobodných občanů;22;Krejčová Martina;;39;Svobodní;BEZPP;864;2.1;-;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;10;KRŇOUL Štěpán Mgr.;Mgr.;30;KDU-ČSL;KDU-ČSL;2200;2.1;7;False
2014;14;Občané patrioti;23;Kroupová Jenšíková Renata Mgr.;Renata Mgr.;41;OPAT;BEZPP;2731;2.02;19;False
2014;8;Sdružení DSZ a NK;7;Kruba Josef;;81;DSZ;BEZPP;39;4.62;-;False
2014;15;DSSS-Za Plz. bez hazar. a nepř;12;Krupička Stanislav;;38;DSSS;DSSS;319;3.12;-;False
2014;12;Strana Práv Občanů;12;Křen Jaroslav Ing.;Ing.;61;SPO;SPO;92;3.9;-;False
2014;14;Občané patrioti;34;Křivancová Martina;;44;OPAT;BEZPP;2612;1.93;30;False
2014;6;TOP 09;26;Kříž Antonín doc. Dr. Ing.;doc. Dr. Ing.;43;TOP 09;BEZPP;3634;2.18;21;False
2014;10;Komunistická str.Čech a Moravy;22;Kříž Roman;;39;KSČM;KSČM;3318;2.17;17;False
2014;4;Změna pro Plzeň;8;Křížková Jitka Mgr. MBA;Mgr. MBA;52;NK;BEZPP;1064;2.32;-;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;47;Křovák Pavel;;50;VZ;BEZPP;934;1.74;-;False
